index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
7814,62120,2019-01-12 12:09:22,Sick/Injured,0,D1901041,,HBC Beagle - Minnie,Beagle,Tricolour,Dog,33 years 0 months.,Female,Veterinary office,2019-01-12 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7815,62121,2019-01-12 15:44:00,Stray,0,D1901042,,Nugget,Yorkshire Terrier,Golden,Dog,33 years 0 months.,Male,Dog room A,2019-01-13 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7816,62122,2019-01-13 14:16:18,Stray,0,C1901043,981020029710091,Noah,Domestic Short Hair,Orange,Cat,24 weeks.,Male,Cat room A,2019-01-19 00:00:00,Foster,0.0,2019-01-23 00:00:00,Stray,,Court Order/ Legal,0,0,0
7817,62122,2019-01-13 14:16:18,Stray,0,C1901043,981020029710091,Noah,Domestic Short Hair,Orange,Cat,24 weeks.,Male,Cat room A,2019-01-23 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7818,62123,2019-01-13 15:42:52,Stray,0,C1901044,981020027757669,Leon,Domestic Short Hair,Black,Cat,3 years 1 month.,Male,Adoptable Cat Kennels,2019-01-30 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7819,62124,2019-01-14 07:17:55,Police Assist,0,D1901043,,Dirt Ball,Rottweiler,Black and Brown,Dog,1 year 1 month.,Female,Canine intake room,2019-01-14 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7820,62125,2019-01-14 12:42:47,Stray,0,C1901045,981020027736264,Tabitha,Domestic Short Hair,"Brown, Black and White",Cat,3 years 0 months.,Female,Adoptable Cat Kennels,2019-02-01 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7821,62126,2019-01-14 13:07:19,Landlord issues,0,C1901041,981020029719843,Jerry,Domestic Short Hair,Black and Brown,Cat,3 years 0 months.,Male,Adoptable Cat Big Colony,2019-01-25 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7822,62127,2019-01-14 13:11:41,Litter relinquishment,0,C1901042,981020027724003,Felix,Domestic Short Hair,Black,Cat,22 weeks.,Male,Adoptable Cat Middle Colony,2019-01-18 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7823,62128,2019-01-14 13:11:41,Litter relinquishment,0,C1901046,981020029232472,Salem,Domestic Short Hair,Black,Cat,22 weeks.,Female,Adoptable Cat Middle Colony,2019-01-18 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7824,62129,2019-01-14 13:11:41,Litter relinquishment,0,C1901047,981020029704892,Sylvester,Domestic Short Hair,Black,Cat,22 weeks.,Male,Adoptable Cat Middle Colony,2019-01-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7825,62130,2019-01-14 14:31:13,Landlord issues,0,D1901048,981020029735513,Sailor,Bully Breed Mix,Tan and White,Dog,8 months.,Male,Adoptable Dogs,2019-01-25 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7826,62131,2019-01-14 15:36:14,Stray,0,C1901048,981020027706634,Binks,Domestic Short Hair,Black,Cat,1 year 0 months.,Male,Adoptable Cat Big Colony,2019-01-29 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7827,62132,2019-01-14 16:39:48,Rabies Monitoring,0,D1901044,,Roscoe,Bully Breed Mix,Black and White,Dog,1 year 1 month.,Male,Dog room Isolation,2019-01-24 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7828,62133,2019-01-14 19:27:18,Stray,0,C1901049,,Pine,Domestic Short Hair,Grey and White,Cat,1 year 0 months.,Male,Cat room A,2019-01-23 00:00:00,Transfer,0.0,,Stray,,Court Order/ Legal,0,0,0
7829,62135,2019-01-15 12:30:15,Transfer from Other Shelter,0,C1901050,0A105C6621,Ritter,Domestic Short Hair,Orange and White,Cat,12 years 0 months.,Male,Cat room B,2019-02-01 00:00:00,Foster,0.0,2019-03-01 00:00:00,Stray,2019-03-20 00:00:00,"UU - untreatable, unmanageable",0,1,0
7830,62137,2019-01-15 16:18:30,Stray,0,D1901050,981020029355787,Annabelle,Hound,Red,Dog,7 months.,Female,Adoptable Dogs,2019-01-25 00:00:00,Adoption,0.0,2019-03-16 00:00:00,Return Adopt - Behavior,,Court Order/ Legal,0,0,0
7831,62137,2019-01-15 16:18:30,Stray,0,D1901050,981020029355787,Annabelle,Hound,Red,Dog,7 months.,Female,Adoptable Dogs,2019-04-16 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7832,62138,2019-01-15 16:33:02,Incompatible with owner lifestyle,0,D1901051,981020027776073,Apollo,Bully Breed Mix,Black,Dog,10 months.,Male,Adoptable Dogs,2019-01-31 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7833,62139,2019-01-16 03:47:41,Police Assist,0,D1901052,,Foxy,Chihuahua,Tan,Dog,1 year 0 months.,Female,Dog room A,2019-01-23 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7834,62140,2019-01-16 08:57:08,Stray,0,D1901049,,Luna May,Border Collie,Black and White,Dog,5 years 2 months.,Female,Canine intake room,2019-01-16 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7835,62141,2019-01-16 09:18:57,Stray,0,D1901053,981020027769068,Denver,Mix,Black,Dog,23 weeks.,Male,Adoptable Dogs,2019-01-24 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7836,62142,2019-01-16 09:18:57,Stray,0,D1901054,981020027771013,Austin,Mix,Brown and Black,Dog,23 weeks.,Male,Adoptable Dogs,2019-01-25 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7837,62143,2019-01-16 12:21:37,Landlord issues,0,C1901052,981020029727100,Ozzy,Domestic Long Hair,White and Black,Cat,13 years 1 month.,Male,Adoptable Cat Kennels,2019-02-20 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7838,62144,2019-01-16 12:22:43,Landlord issues,0,C1901053,981020027775165,Gunther,Domestic Long Hair,Black,Cat,12 years 1 month.,Male,Adoptable Cat Kennels,2019-02-20 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7839,62145,2019-01-16 13:46:18,Stray,0,C1901055,982000409279786,Norman,Domestic Long Hair,Orange and White,Cat,2 years 7 months.,Male,Cat room C,2019-01-16 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7840,62146,2019-01-16 14:14:56,Incompatible with owner lifestyle,0,D1901055,981020029739536,Cosmo,Maltese,White,Dog,1 year 7 months.,Male,Dog room A,2019-01-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7841,62147,2019-01-16 15:36:31,Incompatible with owner lifestyle,0,D1901056,981020029718353,Maka (pronunced Meeka),Yorkshire Terrier/Mix,White and Tan,Dog,11 months.,Female,Adoptable Dogs,2019-01-24 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7842,62148,2019-01-16 15:49:37,Owner Deceased,0,C1901056,981020027756272,Sunny,Domestic Long Hair,Black and Brown,Cat,1 year 0 months.,Male,Adoptable Cat Glass Colony,2019-01-29 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
